Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%,Year
"Urbaez, Francisco",396,396,100.0,100,85,69,26,17,7,0,2,19,19.0,12,12.0,43,190,.306,.279,.388,.372,.459,.405,.369,.348,2,.369,.153,22.6,88.6,91.4,8,161,44.9,2.9,2.0,2024
"Seagle, Chandler",396,396,100.0,107,100,62,18,10,7,0,1,40,37.4,5,4.7,71,220,.180,.152,.219,.192,.280,.239,.220,.192,3,.288,.100,32.3,83.0,90.4,17,142,24.2,4.8,2.8,2024
"Fletcher, Dominic",394,394,100.0,106,95,81,25,17,6,0,2,15,14.2,10,9.4,33,191,.263,.268,.333,.338,.389,.373,.319,.318,2,.295,.126,17.3,83.9,90.4,12,151,25.9,2.5,1.9,2024
"Marsee, Jakob  MIA #22",394,394,100.0,93,80,61,22,17,4,0,1,20,21.5,12,12.9,38,162,.275,.219,.370,.321,.362,.298,.330,.285,1,.356,.087,23.5,78.0,90.3,13,149,18.0,1.6,1.1,2024
"Keys, Sean  TOR #24",390,390,100.0,98,82,64,24,16,4,3,1,21,21.4,13,13.3,45,164,.293,.245,.378,.343,.451,.363,.356,.321,3,.365,.159,27.4,89.4,92.1,14,151,40.6,4.7,3.1,2024
"Campbell, Kristian  MLB #10 / #BOS #3",389,389,100.0,85,70,52,20,14,2,0,4,18,21.2,13,15.3,28,154,.286,.269,.412,.398,.486,.426,.394,.369,4,.333,.200,18.2,88.2,91.2,3,124,46.2,7.7,4.7,2024
"Cedrola, Lorenzo",389,389,100.0,103,91,76,25,17,6,1,1,16,15.5,8,7.8,40,205,.275,.225,.350,.308,.396,.287,.328,.272,1,.320,.121,19.5,83.3,89.8,11,151,21.1,1.3,1.0,2024
"Wilson, Will",388,388,100.0,100,85,60,16,13,3,0,0,26,26.0,10,10.0,54,199,.188,.224,.300,.331,.224,.365,.250,.311,4,.267,.035,27.1,88.7,91.0,17,150,33.3,6.7,4.0,2024
"Wilson, Jacob  MLB #24 / #OAK #1",385,385,100.0,116,106,101,42,27,11,0,4,5,4.3,9,7.8,9,191,.396,.300,.448,.360,.613,.382,.455,.331,2,.392,.217,4.7,84.0,90.8,7,130,28.7,2.0,1.7,2024
"Peralta, David",380,380,100.0,97,80,64,17,12,3,0,2,18,18.6,13,13.4,47,183,.212,.265,.330,.383,.325,.399,.297,.352,2,.242,.113,25.7,94.1,92.7,8,132,56.3,3.1,2.1,2024
"Rivero, Sebastián",378,378,100.0,97,89,70,19,15,4,0,0,20,20.6,7,7.2,53,191,.213,.228,.271,.285,.258,.297,.240,.260,0,.275,.045,27.7,83.6,90.2,10,148,27.1,0.0,0.0,2024
"Escanio, Brenny",378,378,100.0,96,87,67,24,18,4,2,0,21,21.9,8,8.3,39,168,.276,.253,.333,.313,.368,.300,.308,.277,0,.358,.092,23.2,87.2,90.4,3,137,25.4,0.0,0.0,2024
"Dean, Justin",378,378,100.0,90,74,46,19,15,3,1,0,30,33.3,12,13.3,57,178,.257,.172,.367,.299,.324,.233,.314,.256,1,.413,.068,32.0,78.5,89.3,2,135,19.6,2.2,1.1,2024
"Harber, Parks",376,376,100.0,95,78,55,21,11,7,2,1,24,25.3,15,15.8,55,157,.269,.200,.389,.339,.449,.319,.366,.310,5,.370,.179,35.0,90.3,91.8,18,168,45.5,9.1,5.3,2024
"Jerez, Juan",376,376,100.0,97,87,56,20,11,7,0,2,32,33.0,9,9.3,69,192,.230,.201,.302,.277,.379,.326,.300,.270,5,.340,.149,35.9,85.9,91.2,-1,134,35.7,8.9,5.2,2024
"Wilson, Tyler",376,376,100.0,91,76,63,15,9,5,0,1,14,15.4,13,14.3,30,158,.197,.247,.319,.360,.303,.372,.285,.329,3,.226,.105,19.0,87.4,90.9,5,142,38.1,4.8,3.3,2024
"McCusker, Carson",374,374,100.0,98,91,58,26,17,4,1,4,33,33.7,7,7.1,57,171,.286,.268,.337,.320,.484,.465,.353,.338,8,.407,.198,33.3,89.6,92.6,13,157,44.8,13.8,8.2,2024
"Schnell, Nick",373,373,100.0,96,89,52,19,14,2,0,3,38,39.6,5,5.2,89,211,.213,.190,.263,.241,.337,.331,.265,.252,4,.333,.124,42.2,89.6,91.3,17,148,44.2,7.7,4.2,2024
"Ford, Mike",371,371,100.0,105,91,72,27,17,4,0,6,20,19.0,12,11.4,32,150,.297,.238,.381,.330,.538,.440,.393,.333,6,.318,.242,21.3,90.5,92.4,16,156,47.2,8.3,5.7,2024
"Severino, Jhonny  PIT #17",367,367,100.0,103,97,67,23,11,6,3,3,30,29.1,6,5.8,66,203,.237,.168,.282,.216,.454,.261,.313,.212,3,.313,.216,32.5,84.4,90.8,14,134,32.8,4.5,2.9,2024
"Henry, Payton",366,366,100.0,104,95,76,26,17,6,0,3,19,18.3,7,6.7,63,204,.274,.295,.337,.356,.432,.492,.336,.367,9,.315,.158,30.9,89.4,92.4,-3,130,47.4,11.8,8.7,2024
"Durán, Rodolfo",366,366,100.0,108,102,85,27,21,4,0,2,18,16.7,4,3.7,42,202,.265,.256,.299,.291,.363,.389,.291,.297,3,.305,.098,20.8,85.6,92.2,13,161,41.2,3.5,2.8,2024
